lat-long,fsq_id,cat_id,category_name,categories,name,address,city,country,popularity
"41.96909,-87.674237",5282b871498e8a963b4cf843,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"4802 N Ravenswood Ave (Ravenswood Ave & Lawrence Ave), Chicago, IL 60640",Chicago,US,
"41.96909,-87.674237",5282b870498e8a963b4cf678,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"4705 N Damen Ave (Damen Ave & Leland Ave), Chicago, IL 60625",Chicago,US,
"41.96909,-87.674237",5282b871498e8a963b4cf823,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"1500 W Leland Ave (Clark St & Leland Ave), Chicago, IL 60640",Chicago,US,
"41.96909,-87.674237",519cd5032b984a56dac05d27,19047.0,Rail Station,"[{'id': 19047, 'name': 'Rail Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}}]",Ravenswood Station,"4800 N Ravenswood Ave, Chicago, IL 60640",Chicago,US,
"41.96909,-87.674237",a4bb0e3b1b2b41de3e4f7e32,11148.0,Property Management Office,"[{'id': 11148, 'name': 'Property Management Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/realestate_', 'suffix': '.png'}}, {'id': 11149, 'name': 'Real Estate Agency', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/realestate_', 'suffix': '.png'}}]",Ravenswood Station Lofts,"4745 N Ravenswood Ave, Chicago, IL 60640",Chicago,US,
"41.96909,-87.674237",5b444a3475dcb7002ccd961f,10032.0,Night Club,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Ravenswood Station,"4709 N Damen Ave, Chicago, IL 60625",Chicago,US,
"41.96909,-87.674237",525f3f7f11d2eb81cf99f6e6,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"1513 W Winnemac Ave (Clark St & Winnemac Ave), Chicago, IL 60640",Chicago,US,
"41.96909,-87.674237",5282b871498e8a963b4cf810,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"2001 W Sunnyside Ave (Damen Ave & Sunnyside Ave), Chicago, IL 60625",Chicago,US,
"41.96909,-87.674237",5218db51bce681c486efb98e,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"1802 W Montrose Ave (Ravenswood Ave & Montrose Ave), Chicago, IL 60613",Chicago,US,
"41.96909,-87.674237",56439c29cd109915f7fa2e9d,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"5124 N Damen Ave (Damen Ave & Foster Ave), Chicago, IL 60625",Chicago,US,
"41.793242,-87.587782",5282b871498e8a963b4cf846,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"1896 Columbia Dr (Museum of Science and Industry), Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",59b0718c249623281173e577,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"56TH St (Lake Park Ave), Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",5532a796498ebf4d1dfa086f,17119.0,Bicycle Store,"[{'id': 17119, 'name': 'Bicycle Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Tamago Coffee & Bikes,"1451 E 57th St (at Harper Ave), Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",19c0593fdee54f5334791572,19047.0,Rail Station,"[{'id': 19047, 'name': 'Rail Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}}]",55th-56th-57th Street/Museum of Science and Industry Station,"Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",9827b51ae12543fb20cca72d,19047.0,Rail Station,"[{'id': 19047, 'name': 'Rail Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}}]",Hyde Park Metra Station,"55 E 57th St, Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",523f5fd6498ef93349d38762,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"1755 E 55th St (Shore Drive & 55th St), Chicago, IL 60615",Chicago,US,
"41.793242,-87.587782",6bd20ccb096440c683fc94ff,19006.0,Electric Vehicle Charging Station,"[{'id': 19006, 'name': 'Electric Vehicle Charging Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/automotive_', 'suffix': '.png'}}]",Electric Charging Station,"1616 E 56th St, Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",4b18688df964a5204fd223e3,19047.0,Rail Station,"[{'id': 19047, 'name': 'Rail Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}}]",Metra 59th St Station,"1512 E 59th St (at Harper Ave), Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",4e25a3551850b2c0065e54ff,16019.0,Hiking Trail,"[{'id': 16019, 'name': 'Hiking Trail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/hikingtrail_', 'suffix': '.png'}}]",Bike and Roll Chicago,"6300 South Lakeshore Drive, Chicago, IL 60637",Chicago,US,
"41.793242,-87.587782",5282b871498e8a963b4cf7f5,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"1300 E 53rd St (Kimbark Ave & 53rd St), Chicago, IL 60615",Chicago,US,
"41.88283,-87.661206",522011a111d273f0d7c18e22,19002.0,Bike Rental,"[{'id': 19002, 'name': 'Bike Rental', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_', 'suffix': '.png'}}]",Divvy Station,"1337 W Washington Blvd (Ada St & Washington Blvd), Chicago, IL 60607",Chicago,US,
