free_bikes,bike_station,empty_slots,latitude,longitude,rating
6,0,41,41.96909,-87.674237,3.5
6,0,41,41.96909,-87.674237,0.0
6,0,41,41.96909,-87.674237,4.5
6,0,41,41.96909,-87.674237,4.0
6,0,41,41.96909,-87.674237,5.0
11,1,7,41.793242,-87.587782,2.5
11,1,7,41.793242,-87.587782,3.5
11,1,7,41.793242,-87.587782,4.5
11,1,7,41.793242,-87.587782,2.0
8,2,4,41.88283,-87.661206,4.0
8,2,4,41.88283,-87.661206,4.5
8,2,4,41.88283,-87.661206,3.5
8,2,4,41.88283,-87.661206,0.0
6,3,7,41.950687,-87.6687,3.5
6,3,7,41.950687,-87.6687,4.5
6,3,7,41.950687,-87.6687,4.0
6,3,7,41.950687,-87.6687,2.0
8,4,6,41.929546,-87.643118,4.5
8,4,6,41.929546,-87.643118,5.0
8,4,6,41.929546,-87.643118,3.5
8,4,6,41.929546,-87.643118,0.0
8,4,6,41.929546,-87.643118,4.0
18,5,19,41.866095,-87.607267,3.0
18,5,19,41.866095,-87.607267,0.0
18,5,19,41.866095,-87.607267,2.0
18,5,19,41.866095,-87.607267,1.5
18,5,19,41.866095,-87.607267,4.5
2,6,19,41.871262,-87.673688,0.0
2,6,19,41.871262,-87.673688,4.0
2,6,19,41.871262,-87.673688,2.5
2,6,19,41.871262,-87.673688,1.5
2,6,19,41.871262,-87.673688,3.5
2,6,19,41.871262,-87.673688,4.5
14,7,1,41.928887,-87.658971,4.0
14,7,1,41.928887,-87.658971,4.5
14,7,1,41.928887,-87.658971,2.5
14,7,1,41.928887,-87.658971,0.0
15,8,0,41.929143,-87.649077,3.0
15,8,0,41.929143,-87.649077,3.5
15,8,0,41.929143,-87.649077,4.5
15,8,0,41.929143,-87.649077,4.0
7,9,4,41.805661,-87.683392,0.0
7,9,4,41.805661,-87.683392,5.0
7,9,4,41.805661,-87.683392,3.0
7,9,4,41.805661,-87.683392,4.0
7,9,4,41.805661,-87.683392,4.5
7,10,4,41.92459,-87.72785,4.5
7,10,4,41.92459,-87.72785,3.0
7,10,4,41.92459,-87.72785,4.0
7,10,4,41.92459,-87.72785,2.5
7,10,4,41.92459,-87.72785,5.0
7,10,4,41.92459,-87.72785,0.0
13,11,1,41.94367,-87.64895,4.0
13,11,1,41.94367,-87.64895,3.5
13,11,1,41.94367,-87.64895,4.5
13,11,1,41.94367,-87.64895,0.0
13,11,1,41.94367,-87.64895,5.0
6,12,13,41.940106,-87.645451,4.5
6,12,13,41.940106,-87.645451,4.0
6,12,13,41.940106,-87.645451,0.0
6,12,13,41.940106,-87.645451,3.0
7,13,7,41.961507,-87.671387,4.0
7,13,7,41.961507,-87.671387,4.5
7,13,7,41.961507,-87.671387,2.5
7,13,7,41.961507,-87.671387,3.0
12,14,3,41.978353,-87.659753,2.5
12,14,3,41.978353,-87.659753,4.5
12,14,3,41.978353,-87.659753,0.0
12,14,3,41.978353,-87.659753,2.0
12,14,3,41.978353,-87.659753,4.0
5,15,14,41.973815,-87.65966,4.0
5,15,14,41.973815,-87.65966,0.0
5,15,14,41.973815,-87.65966,4.5
2,16,9,41.957081,-87.664199,5.0
