fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.admin_region,location.country,location.cross_street,location.formatted_address,location.locality,location.post_town,location.postcode,location.region,related_places.children,geocodes.drop_off.latitude,geocodes.drop_off.longitude
4ae9970cf964a5203bb521e3,"[{'id': 19000, 'name': 'Travel and Transportation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}}]",[],183,/v3/places/4ae9970cf964a5203bb521e3,Westminster London Underground Station,Europe/London,51.50111,-0.125039,51.50111,-0.125039,Bridge St,England,GB,,"Bridge St, London, Greater London, SW1A 2PW",London,London,SW1A 2PW,Greater London,"[{'fsq_id': '58e384f0876ade3d250c37b7', 'name': 'Cards Galore'}, {'fsq_id': '4fec74363d7c9b9c78e06943', 'name': 'WHSmith'}, {'fsq_id': '5b48969816fa04002c2f6961', 'name': 'Greggs'}]",,
51221e27e4b0320fabfb84c8,"[{'id': 19043, 'name': 'Bus Stop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}}]",[],184,/v3/places/51221e27e4b0320fabfb84c8,Westminster Station Parliament Square bus stop,Europe/London,51.501119,-0.124851,51.501119,-0.124851,,,GB,,,,,,,,,
58deeb35876ade1790d11ef8,"[{'id': 19043, 'name': 'Bus Stop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}}]",[],281,/v3/places/58deeb35876ade1790d11ef8,Bus Stop F - Westminster Station,Europe/London,51.502428,-0.125795,51.502428,-0.125795,53 Parliament St,England,GB,,"53 Parliament St, London, Greater London, SW1A 2NH",London,London,SW1A 2NH,Greater London,,51.502437,-0.125985
5036b36dcc6417d4bcd9a24b,"[{'id': 19000, 'name': 'Travel and Transportation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}}]",[],498,/v3/places/5036b36dcc6417d4bcd9a24b,St. James's Park London Underground Station,Europe/London,51.499823,-0.134154,51.499823,-0.134154,Palmer St 11,England,GB,,"Palmer St 11, London, Greater London, SW1H 0BD",London,London,SW1H 0BD,Greater London,"[{'fsq_id': '5c62c4c506fb60002c78821c', 'name': 'Foreign Payments'}, {'fsq_id': '4b6044cbf964a520d5dc29e3', 'name': 'Caffe Grana'}, {'fsq_id': '594e69450336931c7f92ce75', 'name': ""London-Tokyo Property Services St. James's Park Branch""}, {'fsq_id': '5c0f774f6f0aa2002c8cbdda', 'name': 'WHSmith'}, {'fsq_id': '564c749d498ec148d8e4e11b', 'name': 'SimplyFresh'}]",,
0d11101ea43b4a8c1479a6fe,"[{'id': 19047, 'name': 'Rail Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}}]",[],200,/v3/places/0d11101ea43b4a8c1479a6fe,Westminster Tube Station,,51.501226,-0.124878,51.501226,-0.124878,Bridge St,England,GB,,"Bridge St, London, SW1A 2JR",London,London,SW1A 2JR,,,,
b8c4f6db7692490458febd99,[],[],219,/v3/places/b8c4f6db7692490458febd99,Cooper Bike Company Limited,,51.50061,-0.130013,51.50061,-0.130013,6 Lewisham St,England,GB,,"6 Lewisham St, London, SW1H 9AH",London,London,SW1H 9AH,,,51.500657,-0.130016
612a32746f490c66a4bd3de5,"[{'id': 19043, 'name': 'Bus Stop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}}]",[],579,/v3/places/612a32746f490c66a4bd3de5,St James's Park Station Bus Stop Sc,Europe/London,51.497588,-0.134504,51.497588,-0.134504,,England,GB,,"London, SW1H 0XA",London,London,SW1H 0XA,,,,
4f8e776ae5e8319783a21dd1,"[{'id': 19029, 'name': 'Tour Provider', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",[],744,/v3/places/4f8e776ae5e8319783a21dd1,Brakeaway Bike Tours,Europe/London,51.501353,-0.116286,51.501353,-0.116286,2 Addington St,England,GB,,"2 Addington St, London, Greater London, SE1 7RY",London,London,SE1 7RY,Greater London,,,
5e3ae2ea2a11f800087464d8,"[{'id': 19043, 'name': 'Bus Stop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}}]",[],852,/v3/places/5e3ae2ea2a11f800087464d8,Waterloo Rail Station Bus Stop 17,Europe/London,51.503266,-0.115855,51.503266,-0.115855,,England,GB,,"London, SE1 7NJ",London,London,SE1 7NJ,,,,
4bfd71712b83b713bbb7a998,"[{'id': 19047, 'name': 'Rail Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/trainstation_', 'suffix': '.png'}}]",[],858,/v3/places/4bfd71712b83b713bbb7a998,Charing Cross Underground Station,Europe/London,51.507926,-0.127398,51.507926,-0.127398,Trafalgar Square,England,GB,at Strand,"Trafalgar Square (at Strand), London, Greater London, WC2N 5DN",London,London,WC2N 5DN,Greater London,"[{'fsq_id': '570a7a02498e9e882ebfbcab', 'name': 'Hidden London Charing Cross'}, {'fsq_id': '58c9317b15fb43576c0dc5d7', 'name': 'Donaldk Franchise'}]",,
