name,review_count,location.address1,rating
Girl & The Goat,9746,809 W Randolph St,4.5
Hide+Seek,87,838 W Randolph St,4.0
Birrieria Zaragoza,613,4852 S Pulaski Rd,4.5
The Purple Pig,8042,444 N Michigan Ave,4.0
Orion Restaurant,25,5772 S Archer Ave,4.5
The Whale Chicago,851,2427 N Milwaukee Ave,4.0
Sushi + Rotary Sushi Bar - Chinatown,374,2131 S Archer Ave,4.5
Qing Xiang Yuan Dumplings,1344,2002 S Wentworth Ave,4.5
The Dearborn,1977,145 N Dearborn St,4.5
La Catedral Cafe & Restaurant,499,2500 S Christiana Ave,4.5
Red Barrel Restaurant,90,5214 S Archer Ave,4.0
Bronzeville Soul,15,4655 S King Dr,4.0
Xocome Antojeria,74,5200 S Archer Ave,4.5
Bree Thai Restaurant,447,5306 S Central Ave,4.0
Ciao Ragazzi Restaurant & Bar,47,5440 S Narragansett Ave,4.5
Harry Caray’s Shortstop,58,5700 S Cicero Ave,4.0
El Candelero,3,6038 Cermak Rd,4.5
Hell's Kitchen,0,508 N State St,0.0
The Tamale Lady,82,,4.5
Palenque Restaurant,7,4316 S Pulaski Rd,4.5
